Date,Year,Month,Open,High,Low,Close*,Adj Close**, Volume ,Returns
02/01/1990,1990,Jan,353.4,359.69,351.98,359.69,359.69," 162,070,000 ",0.017487281
03/01/1990,1990,Jan,359.69,360.59,357.89,358.76,358.76," 192,330,000 ",-0.002592262
04/01/1990,1990,Jan,358.76,358.76,352.89,355.67,355.67," 177,000,000 ",-0.008687829
05/01/1990,1990,Jan,355.67,355.67,351.35,352.2,352.2," 158,530,000 ",-0.009852357
08/01/1990,1990,Jan,352.2,354.24,350.54,353.79,353.79," 140,110,000 ",0.004494191
09/01/1990,1990,Jan,353.83,354.17,349.61,349.62,349.62," 155,210,000 ",-0.012041645
10/01/1990,1990,Jan,349.62,349.62,344.32,347.31,347.31," 175,990,000 ",-0.006651119
11/01/1990,1990,Jan,347.31,350.14,347.31,348.53,348.53," 154,390,000 ",0.003500416
12/01/1990,1990,Jan,348.53,348.53,339.49,339.93,339.93," 183,880,000 ",-0.025299326
15/01/1990,1990,Jan,339.93,339.94,336.57,337,337," 140,590,000 ",-0.008694362
16/01/1990,1990,Jan,337,340.75,333.37,340.75,340.75," 186,070,000 ",0.011005136
17/01/1990,1990,Jan,340.77,342.01,336.26,337.4,337.4," 170,470,000 ",-0.009988145
18/01/1990,1990,Jan,337.4,338.38,333.98,338.19,338.19," 178,590,000 ",0.002335965
19/01/1990,1990,Jan,338.19,340.48,338.19,339.15,339.15," 185,590,000 ",0.002830606
22/01/1990,1990,Jan,339.14,339.96,330.28,330.38,330.38," 148,380,000 ",-0.026514922
23/01/1990,1990,Jan,330.38,332.76,328.67,331.61,331.61," 179,300,000 ",0.003709176
24/01/1990,1990,Jan,331.61,331.71,324.17,330.26,330.26," 207,830,000 ",-0.004087688
25/01/1990,1990,Jan,330.26,332.33,325.33,326.08,326.08," 172,270,000 ",-0.01281894
26/01/1990,1990,Jan,326.09,328.58,321.44,325.8,325.8," 198,190,000 ",-0.000890117
